WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2022-10-29,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6414.0,Demonstrations,485.0,54.498,-115.0035
2022-11-05,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-11-12,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-11-19,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4769.0,Demonstrations,485.0,54.498,-115.0035
2022-11-26,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-12-03,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639.0,Demonstrations,485.0,54.498,-115.0035
2022-12-10,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2130.0,Demonstrations,485.0,54.498,-115.0035
2022-12-17,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2130.0,Demonstrations,485.0,54.498,-115.0035
2022-12-31,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2130.0,Demonstrations,485.0,54.498,-115.0035
2023-01-07,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-01-14,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2156.0,Demonstrations,485.0,54.498,-115.0035
2023-01-21,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6493.0,Demonstrations,485.0,54.498,-115.0035
2023-01-28,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4051.0,Demonstrations,485.0,54.498,-115.0035
2023-02-04,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2156.0,Demonstrations,485.0,54.498,-115.0035
2023-02-11,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4337.0,Demonstrations,485.0,54.498,-115.0035
2023-02-18,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-02-25,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4337.0,Demonstrations,485.0,54.498,-115.0035
2023-03-04,North America,Canada,Alberta,Protests,Peaceful protest,3,0,2156.0,Demonstrations,485.0,54.498,-115.0035
2023-03-18,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6209.0,Demonstrations,485.0,54.498,-115.0035
2023-03-25,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2156.0,Demonstrations,485.0,54.498,-115.0035
2023-04-01,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-04-08,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2156.0,Demonstrations,485.0,54.498,-115.0035
2023-04-15,North America,Canada,Alberta,Protests,Peaceful protest,8,0,10717.0,Demonstrations,485.0,54.498,-115.0035
2023-04-22,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6493.0,Demonstrations,485.0,54.498,-115.0035
2023-04-29,North America,Canada,Alberta,Protests,Peaceful protest,8,0,8496.0,Demonstrations,485.0,54.498,-115.0035
2023-05-06,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-05-13,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2671.0,Demonstrations,485.0,54.498,-115.0035
2023-06-03,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-06-10,North America,Canada,Alberta,Protests,Peaceful protest,2,0,3822.0,Demonstrations,485.0,54.498,-115.0035
2023-06-17,North America,Canada,Alberta,Protests,Peaceful protest,2,0,3822.0,Demonstrations,485.0,54.498,-115.0035
2023-06-24,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-07-01,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2671.0,Demonstrations,485.0,54.498,-115.0035
2023-07-08,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-07-22,North America,Canada,Alberta,Protests,Peaceful protest,1,0,1472.0,Demonstrations,485.0,54.498,-115.0035
2023-08-05,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2156.0,Demonstrations,485.0,54.498,-115.0035
2023-08-19,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-08-26,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4827.0,Demonstrations,485.0,54.498,-115.0035
2023-09-09,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2671.0,Demonstrations,485.0,54.498,-115.0035
