country_code,year,tourist_arrivals,tourist_departures
TEA,2012,209238311.638102,112438994.682734
TEA,2013,214704672.466978,131359279.182833
TEA,2014,216907017.848004,153425771.652599
TEA,2015,229644083.48217,168142535.785341
TEA,2016,243207453.386259,178896138.02179
TEA,2017,263898378.255022,189774542.047939
TEA,2018,277743234.61904,199745794.687644
TEA,2019,289300101.805405,207926772.179593
TEC,2010,228004885.432018,159956286.406538
TEC,2011,244817219.02465,173796366.803685
TEC,2012,258377683.993857,187912954.979517
TEC,2013,273457449.6319,207108018.701058
TEC,2014,267581214.264126,178269882.990996
TEC,2015,278325392.262029,180141229.278772
TEC,2016,274218218.147916,181773707.044354
TEC,2017,294608725.405586,204344687.053711
TEC,2018,314784745.548675,218948144.645172
TEC,2019,331546366.211299,230131574.320451
,2010,1124271992.40308,811128570.146149
,2011,1153167524.77879,819893615.548784
,2012,1215900943.44328,838746662.143907
,2013,1266070914.76608,857227623.488973
,2014,1315757995.17859,850607287.974686
,2015,1349915164.10243,889669300.853578
,2016,1403510281.67581,928589865.768957
,2017,1453128423.16718,982228992.375895
,2018,1491870217.10045,1016965040.25269
,2019,1522430052.79407,1037956545.53865
