indicator_code,indicator_label,reporter_area_code,reporter_area_label,partner_area_code,partner_area_label,year,value,unit,indicator_name
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2004,3904.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2005,3894.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2006,3892.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2007,4167.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2008,4614.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2009,4981.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2010,5307.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2011,6686.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2012,7266.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2013,6746.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2014,6517.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2015,7807.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2016,10417.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2017,12213.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2018,11130.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2019,9114.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2020,2841.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2021,833.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2022,5142.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2023,7437.23,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),32,Argentina,999,World,2024,8313.816,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),40,Austria,999,World,2000,7528.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),40,Austria,999,World,2001,8350.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),40,Austria,999,World,2002,8266.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),40,Austria,999,World,2003,8384.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
OUTB_TRIP_TOTL_TOTL_TOUR,outbound - trips - total - total - overnight visitors (tourists),40,Austria,999,World,2004,8371.0,thousand trips,outbound - trips - total - total - overnight visitors (tourists)
