indicator_code,indicator_label,reporter_area_code,reporter_area_label,year,value,unit,indicator_name
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2020,72514.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2021,82074.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2022,108212.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2023,112584.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),36,Australia,2024,114971.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2008,10400.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2009,11172.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2010,10228.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2011,10185.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2012,10962.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2013,11730.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2014,11476.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2015,11088.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2016,12027.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2017,11594.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2018,12410.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2019,12936.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),40,Austria,2020,10387.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
